Search terms report
All time
Search term,Match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
maiko gion kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
visit to japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
masjid kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
how to do kyoto in mobile,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto visit place,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
gion matsuri festival in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto nara itinerary 1 day,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kiyomizu dera temple kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
viaggio kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto fushimi,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tomodachi tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tokyo dario moccia,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in january,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
ebisuya arashiyama,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
maikoya tea ceremony kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto bamboo forest,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto places to see,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
where to stay in kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan information,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
where to visit kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
place of interest in kyoto,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
to do in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama kyoto japan,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
temple in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
togetsukyo,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto university campus tour,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
เกีย ว โต 1 day trip,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
phố cổ kyoto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tempat wisata kyoto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
top 10 places to visit in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto cruise port things to do,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan attractions,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
travel to japan kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan uji,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
o que fazer em kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
yasaka shrine kyoto,Performance Max,None,2,3,66.67%,JPY,341,682,0.00%,0.00,0
tour of japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
교토 가족 여행,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
what to see in kyoto,Performance Max,None,0,16,0.00%,JPY,0,0,0.00%,0.00,0
kyoto winter trip,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tours japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
must do kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto things to see,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan tourist attractions,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
rickshaw kyoto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
walking in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
what to do,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto fushimi inari shrine,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
japan tourist places,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
o que visitar em kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari market,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
morning walk at fushimi inari taisha gem villena,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
travel to japan,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari,Performance Max,None,0,55,0.00%,JPY,0,0,0.00%,0.00,0
what to do in kameoka kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
all about kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto evening,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan kyoto tour,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
ที่ เที่ยว เกีย ว โต 2025,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
walk in kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
di kyoto ada apa saja,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
day trip to uji,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan famous places,Performance Max,None,3,2,150.00%,JPY,69,207,0.00%,0.00,0
uji japan,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
kyoto november,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
inari temple kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
9pm in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama rickshaw tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
geisha gion,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto có gì,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari shrine,Performance Max,None,1,94,1.06%,JPY,14,14,0.00%,0.00,0
what to see in kyoto in 2 days,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
itinerary kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
日本 古 建筑,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto bus tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto arashiyama,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
what can we do today,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
kyoto season,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
ruriko in temple reservation,Performance Max,Excluded,1,1,100.00%,JPY,174,174,0.00%,0.00,0
japan tours,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan in december,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto sights to see,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
日本 京都,Performance Max,Excluded,0,4,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว ญี่ปุ่น,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
amanohashidate kyoto japan,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
a day in kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
kyoto old town,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 2 days trip,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japanese tea ceremony kyoto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
hidden kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
كيوتو,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto rickshaw,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
unique things in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best kyoto combo,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto gyoen national garden,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
saihōji kokedera temple,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto attractions at night,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto country side,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto culture channel,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto guide 2024,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan city tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
10 best places to visit in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
แพ ลน เที่ยว เกีย ว โต,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto place to go,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto village,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
cool places to visit in japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto rain walk,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
3 days kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto by the sea,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
travel kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto day,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
the best place to visit in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tourist spot in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 市,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tour kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
2 days in kyoto,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
tourist destinations,Performance Max,None,0,31,0.00%,JPY,0,0,0.00%,0.00,0
anime things to do in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
beautiful kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best things to do in kyoto,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
things to do in kyoto with kids,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto must see places,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
todo kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto boat ride,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tour to kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
que ver en kioto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
central kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
the kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
京都 好 去處,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tokyo tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
places to visit near kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto road trip,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
traveler's factory kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do in kyoto 1 day,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari tapınağı,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว japan,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tokyo cheapo kyoto,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan kyoto walk,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
vlog kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 左京 区,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
cherry blossom kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto morning,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
november in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 4 days,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
اليابان,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japanese,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
trip ke jepang,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
traveling to kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fun things to do in kyoto with kids,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
how to do the kyoto combo easily,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto travel vlog,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
famous place in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
day trip to uji from kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
guia kioto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kjoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan street food,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
what to do in uji kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
uji trip,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว kyoto,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto best places to visit,Performance Max,None,1,9,11.11%,JPY,139,139,0.00%,0.00,0
kioto templos,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
일본 교토 여행,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
wisata di kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto localized tour,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
randen train arashiyama,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
traveling in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kensho quest kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
one day tour kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 3 days 2 nights,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do and see in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
uji day trip from kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
gion geisha district kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto experiences,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
jalan jalan di jepang,Performance Max,Excluded,0,3,0.00%,JPY,0,0,0.00%,0.00,0
kyoto itinerary 1 day,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
киото япония интересные места,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
4 days in kyoto itinerary,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tambabashi,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama เที่ยว,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
uji japan things to do,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan tour,Performance Max,None,0,60,0.00%,JPY,0,0,0.00%,0.00,0
machi tour japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto may 2025,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto at all cost,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
jnto kyoto walks,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in a day,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best time to visit kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in april,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in early october,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
ryokan experience kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
memory lane kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 自由 行,Performance Max,Excluded,0,7,0.00%,JPY,0,0,0.00%,0.00,0
what to do and see in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari hike,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to do in kyoto during autumn,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
touring japan,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kiyomizu,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
one day trip to kyoto from tokyo,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
things to do in kyoto japan,Performance Max,None,0,11,0.00%,JPY,0,0,0.00%,0.00,0
activities in kyoto,Performance Max,None,1,1,100.00%,JPY,201,201,0.00%,0.00,0
kyoto 3 day itinerary,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
kyoto to do,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
ueno family trip ke kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
what to do in kyoto for 4 days,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto overtourism,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
path of philosophy kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan old town,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto visit japan,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
京都 自由 行 攻略,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tourist,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 旅游,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
tour por japon,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in the moment,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
tenryu ji temple,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
top 5 things to do in kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
fushimi inari temple,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
สถาน ที่ เกีย ว โต,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in japan,Performance Max,None,0,8,0.00%,JPY,0,0,0.00%,0.00,0
love in kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
3 day itinerary kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
visit kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
jm banquicio kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
okazaki shrine kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto university tour,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
next station is kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
uji must visit,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto city view,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
day tripping,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tokyo and kyoto travel,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
things to see in kyoto in one day,Performance Max,None,1,1,100.00%,JPY,195,195,0.00%,0.00,0
kyoto 2 days itinerary,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto craft,Performance Max,None,1,2,50.00%,JPY,35,35,0.00%,0.00,0
kyoto design guide,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
whats in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto day trips,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto đi đâu,Performance Max,Excluded,0,2,0.00%,JPY,0,0,0.00%,0.00,0
park kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto nightlife,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
京都 12 月 上旬,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto vlog 2025,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
ryozen kannon,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best places to visit in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
trip to kyoto,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
maibaru travel kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto temple walk,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว อา ราชิ ยา ม่า,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto osaka japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
japan travel,Performance Max,None,0,56,0.00%,JPY,0,0,0.00%,0.00,0
how to go to fushimi inari shrine,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto night walk,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
kyoto turismo,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
santuario inari,Performance Max,Excluded,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto sol life,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
best streets in gion kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto main city,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto gezilecek yerler,Performance Max,None,0,5,0.00%,JPY,0,0,0.00%,0.00,0
voyage à kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
japan night walk,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
gion evening walk,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
مدينة كيوتو اليابان,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
京都 観光,Performance Max,Excluded,0,5,0.00%,JPY,0,0,0.00%,0.00,0
rekomendasi aktivitas di kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
เที่ยว เกีย ว โต ใบไม้ เปลี่ยน สี,Performance Max,Excluded,0,3,0.00%,JPY,0,0,0.00%,0.00,0
must visit places in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tourists,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto landmark,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto must visit,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
where to go in kyoto japan,Performance Max,None,0,4,0.00%,JPY,0,0,0.00%,0.00,0
kyoto philosopher's path,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
best of kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
arashiyama bamboo forest,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto documentary,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
tomodachi tours,Performance Max,None,5,12,41.67%,JPY,32,159,20.00%,1.00,159
must see,Performance Max,None,16,26,61.54%,JPY,81,1292,0.00%,0.00,0
places must visit in kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
교토 아라시야마,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto tourist information,Performance Max,None,1,1,100.00%,JPY,92,92,0.00%,0.00,0
kyoto sunrise the finals,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto and nara day trip,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
嵐山 観光,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto 4 day itinerary,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
how to master kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
kyoto japan travel,Performance Max,None,0,11,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in november,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
kyoto guide,Performance Max,None,0,7,0.00%,JPY,0,0,0.00%,0.00,0
kyoto one day,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
what to do in kyoto in the evening,Performance Max,None,1,3,33.33%,JPY,73,73,0.00%,0.00,0
sehenswürdigkeiten kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in february,Performance Max,None,0,6,0.00%,JPY,0,0,0.00%,0.00,0
kyoto one day tour,Performance Max,None,0,3,0.00%,JPY,0,0,0.00%,0.00,0
beyond the tourist trail kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
places to see kyoto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
travel destinations,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
co zobaczyc w kioto,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
kyoto in autumn,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tourist places in kyoto japan,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
que visitar en kioto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
京都 walk,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
tourist places in japan,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
visiting kyoto,Performance Max,None,0,2,0.00%,JPY,0,0,0.00%,0.00,0
visiter le japon,Performance Max,None,0,1,0.00%,JPY,0,0,0.00%,0.00,0
day tour,Performance Max,None,1,5,20.00%,JPY,74,74,0.00%,0.00,0
